Metrics/EpRet,Metrics/EpRet/Min,Metrics/EpRet/Max,Metrics/EpRet/Std,Metrics/EpCost,Metrics/EpCost/Min,Metrics/EpCost/Max,Metrics/EpCost/Std,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Penalties/inv_lb,Penalties/inv_ub,Penalties/equip_lb,Misc/Alpha,Misc/FinalStepNorm,Misc/gradient_norm,Misc/xHx,Misc/H_inv_g,Misc/AcceptanceStep,Misc/cost_gradient_norm,Misc/A,Misc/B,Misc/q,Misc/r,Misc/s,Misc/Lambda_star,Misc/Nu_star,Misc/OptimCase
346.3432922363281,314.3692932128906,387.93951416015625,18.71384620666504,921.669677734375,911.0,928.0,1.9138062000274658,30.0,0.0,1.4260469675064087,0.00014927092706784606,10.0,0.9968293309211731,0.995244026184082,1.0,0.0022419875022023916,0.0,1.0072664022445679,20000.0,-0.27398809790611267,-0.27398809790611267,-2.6702879907247734e-09,10307.2001953125,10307.2001953125,0.113751120865345,68625.3046875,68625.3046875,0.08109595626592636,84.20223999023438,58.47373580932617,25.72812271118164,84.2018814086914,237.52439880371094,73.090087890625,12.786787033081055,9.854353904724121,2.1257410049438477,0.29485705494880676,0.03678442910313606,0.00442596897482872,0.14331145584583282,1.0,4.536758899688721,0.0028983340598642826,-11472.7236328125,0.00442596897482872,0.32719647884368896,70.08058166503906,0.0,0.01689336448907852,0.0
346.74578857421875,312.4136047363281,388.0480651855469,18.698442459106445,921.780029296875,911.0,930.0,2.021756410598755,30.0,1.0,1.4296655654907227,0.0001598502421984449,10.0,0.9979400634765625,0.9969101548194885,1.0,0.0014565669698640704,0.0,1.0109564065933228,40000.0,-0.36395788192749023,-0.08996978402137756,1.430511542555024e-10,3548.237060546875,-6758.963134765625,87.38633728027344,49729.43359375,-18895.87109375,102.923583984375,168.4749298095703,58.92949676513672,25.314674377441406,84.24419403076172,237.40509033203125,73.06381225585938,12.792792320251465,10.442192077636719,1.588848352432251,0.2984897494316101,0.04888099804520607,0.007922541350126266,0.19431498646736145,1.0,5.945559978485107,0.0036821775138378143,-6977.92626953125,0.007922541350126266,0.6990748643875122,115.2508773803711,0.0,0.013173248618841171,0.0
346.4120788574219,311.94024658203125,392.177734375,18.627119064331055,921.7938232421875,909.0,931.0,2.042227268218994,30.0,2.0,1.4506868124008179,0.0001541881647426635,10.0,0.998275101184845,0.9974126815795898,1.0,0.0012196735478937626,0.0,1.032716155052185,60000.0,-0.3537113070487976,0.010246574878692627,2.1052359855389113e-08,494.6848449707031,-3053.552215576172,151.68423461914062,33323.8125,-16405.62109375,188.60760498046875,251.6909637451172,57.73260498046875,25.4547176361084,83.18733978271484,240.42120361328125,73.0360336303711,12.813313484191895,10.692692756652832,1.7358345985412598,0.2851998209953308,0.04492364823818207,0.006637624464929104,0.17832531034946442,1.0,6.360360622406006,0.002702664118260145,-7453.29345703125,0.006637624464929104,0.6516105532646179,107.90357971191406,0.0,0.013614354655146599,0.0
346.53759765625,311.94024658203125,392.5489807128906,18.565570831298828,921.865966796875,909.0,931.0,2.0703794956207275,30.0,3.0,1.4546217918395996,0.00015499602886848152,10.0,0.999422550201416,0.9991338849067688,1.0,0.00040829056524671614,0.0,1.036736011505127,80000.0,-0.3487600088119507,0.004951298236846924,2.250671471415444e-08,88.51921081542969,-406.16563415527344,184.5867156982422,20400.375,-12923.4375,261.9068908691406,335.32305908203125,58.08481979370117,25.518308639526367,83.6031494140625,239.22543334960938,73.00713348388672,12.830705642700195,11.089339256286621,1.290452003479004,0.3018876910209656,0.06756386905908585,0.012010078877210617,0.21283502876758575,1.0,5.814950942993164,0.008194288238883018,-7363.173828125,0.012010078877210617,0.6456344723701477,109.24180603027344,0.0,0.013530708849430084,0.0
346.82623291015625,311.94024658203125,399.2871398925781,18.464574813842773,921.9456176757812,900.0,931.0,2.124302625656128,30.0,4.0,1.4423702955245972,0.00015679505304433405,10.0,0.9998353123664856,0.999752938747406,1.0,0.0001164657951449044,0.0,1.02426278591156,100000.0,-0.25860992074012756,0.09015008807182312,4.959106458812812e-09,67.81766510009766,-20.70154571533203,195.97836303710938,10690.2841796875,-9710.0908203125,320.60137939453125,421.08306884765625,58.17732238769531,27.55268669128418,85.73002624511719,233.2904815673828,72.95255279541016,12.845345497131348,11.461861610412598,0.9209667444229126,0.30015555024147034,0.0953921228647232,0.023579899221658707,0.294155091047287,1.0,4.216334819793701,0.022580105811357498,-13116.2041015625,0.023579899221658707,0.2476377636194229,61.337127685546875,0.0,0.01805732026696205,0.0
347.080810546875,311.94024658203125,399.2871398925781,18.404050827026367,921.9617309570312,900.0,931.0,2.1526541709899902,30.0,5.0,1.4360580444335938,0.0001704204041743651,10.0,0.9973837733268738,0.9960756897926331,1.0,0.0018499376019462943,0.0,1.0176514387130737,120000.0,-0.23067054152488708,0.02793937921524048,2.145767119543507e-09,64.17021179199219,-3.6474533081054688,199.78819274902344,4476.6640625,-6213.6201171875,369.2503662109375,505.50555419921875,58.36001968383789,26.03199577331543,84.39203643798828,236.98919677734375,72.92717742919922,12.859359741210938,11.640390396118164,0.7046148777008057,0.2971152663230896,0.13670428097248077,0.040283411741256714,0.3533655107021332,1.0,3.605147123336792,0.038360416889190674,-17944.59765625,0.040283411741256714,0.29362690448760986,44.83463668823242,0.0,0.021120693534612656,0.0
347.0106201171875,311.94024658203125,399.2871398925781,18.410852432250977,921.94677734375,900.0,931.0,2.137929916381836,30.0,6.0,1.438657283782959,0.00016245034930761904,10.0,0.9990108609199524,0.9985163807868958,1.0,0.0006993847782723606,0.0,1.020241141319275,140000.0,-0.1559116393327713,0.07475890219211578,7.629394338515283e-10,61.28171920776367,-2.8884925842285156,199.24298095703125,1269.4813232421875,-3207.1827392578125,404.40997314453125,589.7605590820312,58.20819091796875,26.014965057373047,84.22317504882812,237.46434020996094,72.95817565917969,12.856070518493652,11.772200584411621,0.8415088057518005,0.28794124722480774,0.10688423365354538,0.028243107721209526,0.32342997193336487,1.0,2.5347037315368652,0.028192570433020592,-37965.2734375,0.028243107721209526,-0.03272492438554764,21.19076156616211,0.0,0.030721450224518776,0.0
346.8382873535156,311.94024658203125,408.5499267578125,18.266775131225586,921.9600219726562,900.0,931.0,2.1363296508789062,30.0,7.0,1.4385080337524414,0.0001493059389758855,10.0,1.0013798475265503,1.0,1.0020697116851807,0.0009756714571267366,0.0,1.0199475288391113,160000.0,-0.04663224518299103,0.10927939414978027,2.2888184680880386e-09,54.8134765625,-6.468242645263672,198.343505859375,245.84124755859375,-1023.6400756835938,422.89764404296875,674.332275390625,58.40047836303711,26.138858795166016,84.53935241699219,236.5762176513672,72.98442077636719,12.851914405822754,11.969969749450684,0.8542118072509766,0.31378665566444397,0.10865876823663712,0.027409344911575317,0.3087290823459625,1.0,0.6694149374961853,0.026903221383690834,-443632.46875,0.027409344911575317,0.030296310782432556,1.8135218620300293,0.0,0.10501554608345032,0.0
346.7026672363281,311.94024658203125,408.5499267578125,18.176204681396484,921.9801635742188,900.0,931.0,2.1457812786102295,30.0,8.0,1.42935049533844,0.00014361423382069916,10.0,1.0013500452041626,1.0,1.0020251274108887,0.0009546541841700673,0.0,1.010619044303894,180000.0,-0.015578638762235641,0.031053606420755386,2.0980834847250662e-09,52.131736755371094,-2.6817398071289062,197.62803649902344,83.5378646850586,-162.30338287353516,429.47918701171875,758.5888061523438,58.48204803466797,25.740901947021484,84.22298431396484,237.46487426757812,72.99783325195312,12.854687690734863,12.180013656616211,0.8069618940353394,0.3139783442020416,0.11414338648319244,0.03071311116218567,0.31849226355552673,1.0,0.29643476009368896,0.028864145278930664,-2624669.5,0.03071311116218567,0.023807290941476822,0.3065427541732788,0.0,0.2554285526275635,0.0
346.4098205566406,311.94024658203125,408.5499267578125,18.173324584960938,921.9588623046875,900.0,931.0,2.1251649856567383,30.0,9.0,1.4058641195297241,0.00017167959595099092,10.0,1.0004619359970093,1.0,1.0006929636001587,0.000326666166074574,0.0,0.9873123168945312,200000.0,-0.008450247347354889,0.0071283914148807526,6.103515470812226e-09,55.356937408447266,3.225200653076172,197.22154235839844,73.40069580078125,-10.137168884277344,430.7110900878906,842.903564453125,58.42820739746094,25.85321617126465,84.28144073486328,237.3001708984375,73.03543853759766,12.842642784118652,12.188438415527344,0.6566109657287598,0.2892020642757416,0.1470213234424591,0.04638884961605072,0.3644922077655792,1.0,0.2890876233577728,0.0416753776371479,-3616997.0,0.04638884961605072,0.03237941116094589,0.22243179380893707,0.0,0.29985862970352173,0.0
